branch	offspring	parent	same	Number of Events	branch_length	Events per million years
0	0	40	25	25	700	0.03571428571428571
1	14	74	45	59	500	0.118
2	51	99	97	148	250	0.592
3	102	10	26	128	100	1.28
4	16	5	11	27	50	0.54
5	4	0	5	9	30	0.3
6	12	3	11	23	60	0.38333333333333336
7	6	11	21	27	90	0.3
8	4	4	10	14	60	0.23333333333333334
9	12	14	38	50	60	0.8333333333333334
10	18	2	13	31	30	1.0333333333333334
11	3	7	5	8	27	0.2962962962962963
12	17	4	19	36	18	2
13	5	4	10	15	12	1.25
14	9	5	3	12	7	1.7142857142857142
15	9	0	2	11	6	1.8333333333333333
16	5	0	0	5	6	0.8333333333333334
